,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,arch_id,n,d,gbs,lr,train_loss,val_loss,cluster,time_last_mod
201,201.0,201.0,201.0,attn,300M,1.0B,32,0.002,3.172691345214844,3.2786140199567453,mpi,2026-06-26 23:42:51
202,202.0,202.0,202.0,attn,300M,3.0B,32,0.002,3.152693271636963,3.128988033826234,mpi,2026-06-26 06:03:10
203,203.0,203.0,203.0,attn,300M,0.5B,32,0.002,3.5001962184906006,3.4084304520341218,mpi,2026-06-26 23:14:43
204,204.0,204.0,204.0,attn,300M,1.0B,32,0.001,3.1614675521850586,3.2674076627512445,mpi,2026-06-26 23:10:16
205,205.0,205.0,205.0,attn,300M,3.0B,32,0.001,3.1288132667541504,3.1030400917178294,mpi,2026-06-26 11:09:32
206,206.0,206.0,206.0,attn,300M,0.5B,32,0.001,3.504995107650757,3.4103588393477144,mpi,2026-06-26 22:54:15
207,207.0,207.0,207.0,attn,300M,1.0B,32,0.0005,3.166938781738281,3.270982245929906,mpi,2026-06-14 12:45:01
208,208.0,208.0,208.0,attn,300M,3.0B,32,0.0005,3.116701602935791,3.093954569394471,mpi,2026-06-26 06:06:04
209,209.0,209.0,209.0,attn,300M,0.5B,32,0.0005,3.537789821624756,3.4455104335409694,mpi,2026-06-14 12:45:57
210,210.0,210.0,210.0,attn,300M,1.0B,32,0.00025,3.212033271789551,3.314526737713423,mpi,2026-06-26 23:13:15
